Season (Which subfolder to put file in, . for show's root folder, .. for downloads folder root)	Filename (Revision3 messed up some filenames, this column is used to fix that)	Download Name (Filename that the downloader spit out, useful when downloading from youtube)	Download Link	MD5	SHA256
Season_02	hak5--2x10.avi	hak5--2x10.avi	http://pkvpn.com/hak5/S02/hak5--2x10.avi	a12b74839c9fe92684aa7f3f0f627018	0fbe3b5b45d977714df454e209ca0afa891fa6ce3d7eac0217a7db02bcb7d06f
Season_03	hak5--3x01.avi	hak5--3x01.avi	http://pkvpn.com/hak5/S03/hak5--3x01.avi	321be422b1d4f20b57be0befb617af43	9ad88a266adefe3848a28be146f50c4f0188ac15c1e8b4b158ce8ce4844421a5
Season_03	hak5--3x02.avi	hak5--3x02.avi	http://pkvpn.com/hak5/S03/hak5--3x02.avi	cbb670579188b37b3f053c83206768d5	88dce9e8e8866b0324b94d49097fb6d63b632399bee52c32d3bd60bfad5e256b
Season_03	hak5--3x03.avi	hak5--3x03.avi	http://pkvpn.com/hak5/S03/hak5--3x03.avi	da7ce01afa312ae7d9859fa1fdd6873e	2f57fb9cd1066ecf2e3b8507753c5a1cda93643e8691dceee9eeb6b63497c31a
Season_03	hak5--3x04.avi	hak5--3x04.avi	http://pkvpn.com/hak5/S03/hak5--3x04.avi	f97fe6f323c7d3ff7045452c01bab739	b6ffae8a7b5df76951bcc1ec22e50acbd3b16985b83c16723bc0f8a83179334d
Season_03	hak5--3x05.avi	hak5--3x05.avi	http://pkvpn.com/hak5/S03/hak5--3x05.avi	1c937b39297b6ad15b8076fe1147f66d	df359293a64e13dec592855ba77f05fa5ef8503a190f13a73a209a7dfb75d447
Season_03	hak5--3x06.avi	hak5--3x06.avi	http://pkvpn.com/hak5/S03/hak5--3x06.avi	1fc61f9399ec4ab29e7fd5b5ebc85258	6cb7aa4e2e6f63bb3710747d7e240919b6826ae8b3df82209be24b5f22df3b58
Season_03	hak5--3x07.avi	hak5--3x07.avi	http://pkvpn.com/hak5/S03/hak5--3x07.avi	72a4b07aecfd2f5922c742d82cbc7dfd	60b2ae7544874722653d9546b56fb2a1f74b5cdedbdaf6f8a9007909810f2582
Season_03	hak5--3x08.avi	hak5--3x08.avi	http://pkvpn.com/hak5/S03/hak5--3x08.avi	2b057ed235a49994266e2ae15d74e44d	c5aeb5650bfedfd3efa4e2b6333f0baac9ac9d402765a19fd9260255cfff39d1
Season_03	hak5--3x09.avi	hak5--3x09.avi	http://pkvpn.com/hak5/S03/hak5--3x09.avi	788a119a8d7304b34ef1034dd73445ec	6dad9acd4f86fb6fa79206bc7cbc6c01eaa690a0c9f0bca4498e7f1a67f67407
Season_03	hak5--3x10.avi	hak5--3x10.avi	http://pkvpn.com/hak5/S03/hak5--3x10.avi	80734a35be784619f056b6009e3859c2	6631923a3afec533a0e546593638063d2ad97b12411f34f22d3f261d4b2e35cf
Season_04	hak5--0401--pineapples--large.h264.mp4	hak5--0401--pineapples--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0401/hak5--0401--pineapples--large.h264.mp4	ac7f6fc04166ec3f8fecd7aca7deccfc	dbd8b5ed034d61e00f8326ab85b079478fb2538f5fd156578d2b6176e1d5e1aa
Season_04	hak5--0402--spicyreverseengineering--large.h264.mp4	hak5--0402--spicyreverseengineering--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0402/hak5--0402--spicyreverseengineering--large.h264.mp4	8fe7adfba86e36dce13de28af68d262a	edbaabad0bffd49a9b02e45bdfefa9979217079f305b62ce0d5431ad356ab82e
Season_04	hak5--0403--CrackingPineapplesFirewallsandBBS--large.h264.mp4	hak5--0403--CrackingPineapplesFirewallsandBBS--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0403/hak5--0403--CrackingPineapplesFirewallsandBBS--large.h264.mp4	0f64b6e0dfd77695f6fc7d25e07d08cb	8cf08350bebbc5da70926d4969903412ee508a3f2096620a88140396bbb460dd
Season_04	hak5--0404--notfound--large.h264.mp4	hak5--0404--notfound--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0404/hak5--0404--notfound--large.h264.mp4	61063900b30bb3e622ee1c495a39a7af	2699a279483b901440ea2d18a5af7969adc23b1f1f210a17c9436bcb10f650dd
Season_04	hak5--0405--PlasticPineapple--large.h264.mp4	hak5--0405--PlasticPineapple--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0405/hak5--0405--PlasticPineapple--large.h264.mp4	70a33759325dc4490f2e691e31ba36fa	00ffdecf48275d8284ccc63cb008ee144f686dafbb5ce0265319219a3aab0f44
Season_04	hak5--0406--PacketSniffingBoxeeSynergy--large.h264.mp4	hak5--0406--PacketSniffingBoxeeSynergy--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0406/hak5--0406--PacketSniffingBoxeeSynergy--large.h264.mp4	d29b9c5562d41b2a0d95f0ca9f680bda	a0565d9b3c28ef05fdb822fd2136e411648840be6a7a0e8aa6cd4e25652ba883
Season_04	hak5--0407--toorcon2008--large.h264.mp4	hak5--0407--toorcon2008--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0407/hak5--0407--toorcon2008--large.h264.mp4	9fc74efa41aebab0026009995f8d0d8a	a1c4111385c3f182a0b55121dc04940de33b25c8d21474063405aae651bdb2e8
Season_04	hak5--0408--BuildingPackets--large.h264.mp4	hak5--0408--BuildingPackets--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0408/hak5--0408--BuildingPackets--large.h264.mp4	2b9e6cd64c349185ba622a3dadc15f10	d4a1c6d1b6d804747fa4769902fb16ad8dae0d4ba722872d803b4c7878c2da96
Season_04	hak5--0409--HappyHakoween--large.h264.mp4	hak5--0409--HappyHakoween--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0409/hak5--0409--HappyHakoween--large.h264.mp4	d8be780ea76e77205ac514774ac29fdb	81faa60365a0cce1f5100ea2d8f0c11ae2bc9214a27c0f94f71ff724315d9a7c
Season_04	hak5--0410--Phreaknic--large.h264.mp4	hak5--0410--Phreaknic--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0410/hak5--0410--Phreaknic--large.h264.mp4	6bd55132038be283ce43d25b2346dbbb	96c1e9da470e7407532754c9a1558cfe308a92fef584a7e62480e0428a1bccb2
Season_04	hak5--0411--PaulsFlamingo--large.h264.mp4	hak5--0411--PaulsFlamingo--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0411/hak5--0411--PaulsFlamingo--large.h264.mp4	550f1bfbbf559c7385aa46ec51a657ca	8fadc6f325fd7690ebefbdd0dbadcf206b7122b81cb1914c2f0d7c7623a54653
Season_04	hak5--0412--SessionHijackingAndVirtualizing--large.h264.mp4	hak5--0412--SessionHijackingAndVirtualizing--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0412/hak5--0412--SessionHijackingAndVirtualizing--large.h264.mp4	b6ca199a13eb7275f33146fb70fc2826	30e316d86638852c8c8d884f7950a3ebf31c8652c9e2c595d539b33a4e0d90f6
Season_04	hak5--0413--Unicorns--large.h264.mp4	hak5--0413--Unicorns--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0413/hak5--0413--Unicorns--large.h264.mp4	8c1a7aed141a961a7dbe29f676803fbe	d4df9bab00787bc0c792082f19a2b266b3aa58d402aba9f7af1e496a31c3b821
Season_04	hak5--0414--USBMissileDefenseProgram--large.h264.mp4	hak5--0414--USBMissileDefenseProgram--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0414/hak5--0414--USBMissileDefenseProgram--large.h264.mp4	77fa9069a6e278ec6907a7a4473e2254	92060556d533ae94e71f6bb453374133702b1828233950e0c74835b7d806e344
Season_04	hak5--0415--HackersArePeopleToo--large.h264.mp4	hak5--0415--HackersArePeopleToo--large.h264.mp4	http://videos.revision3.com/revision3/web/hak5/0415/hak5--0415--HackersArePeopleToo--large.h264.mp4	8cb85ae3e08bf7d6854851b099611a72	4c0f8ec0052dd63bf190aeef1273181c3f6f8febcd6702b67bb9ae396a863548
